Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
273.16	1.0000	1000.3	0.00099970	0.018283	1.0180	6.6001e-05	4.2127	4.2150	1403.9	-0.24133	0.0017887	0.56159	liquid
274.16	1.0000	1000.4	0.00099964	4.2317	5.2313	0.015462	4.2106	4.2118	1408.9	-0.24036	0.0017282	0.56348	liquid
275.16	1.0000	1000.4	0.00099961	8.4420	9.4416	0.030791	4.2083	4.2088	1413.7	-0.23942	0.0016709	0.56537	liquid
276.16	1.0000	1000.4	0.00099959	12.649	13.649	0.046054	4.2060	4.2061	1418.5	-0.23849	0.0016166	0.56726	liquid
277.16	1.0000	1000.4	0.00099958	16.854	17.854	0.061253	4.2035	4.2035	1423.1	-0.23757	0.0015651	0.56916	liquid
278.16	1.0000	1000.4	0.00099959	21.057	22.056	0.076388	4.2010	4.2012	1427.7	-0.23668	0.0015162	0.57105	liquid
279.16	1.0000	1000.4	0.00099962	25.257	26.256	0.091460	4.1983	4.1990	1432.1	-0.23580	0.0014696	0.57295	liquid
280.16	1.0000	1000.3	0.00099966	29.454	30.454	0.10647	4.1956	4.1970	1436.4	-0.23494	0.0014253	0.57484	liquid
281.16	1.0000	1000.3	0.00099972	33.650	34.650	0.12142	4.1928	4.1951	1440.6	-0.23409	0.0013831	0.57673	liquid
282.16	1.0000	1000.2	0.00099979	37.845	38.844	0.13631	4.1899	4.1933	1444.7	-0.23326	0.0013429	0.57862	liquid
283.16	1.0000	1000.1	0.00099987	42.037	43.037	0.15115	4.1869	4.1917	1448.8	-0.23244	0.0013045	0.58050	liquid
284.16	1.0000	1000.0	0.00099997	46.228	47.228	0.16592	4.1839	4.1903	1452.7	-0.23163	0.0012679	0.58238	liquid
285.16	1.0000	999.92	0.0010001	50.417	51.417	0.18064	4.1807	4.1889	1456.5	-0.23084	0.0012329	0.58425	liquid
286.16	1.0000	999.80	0.0010002	54.606	55.606	0.19530	4.1776	4.1876	1460.2	-0.23006	0.0011994	0.58612	liquid
287.16	1.0000	999.67	0.0010003	58.792	59.793	0.20991	4.1743	4.1865	1463.9	-0.22928	0.0011673	0.58797	liquid
